string,matches_regex
acbbdcdcbccbdbd,0
ddddbadacdabdcd,1
adddddaabbbcdda,0
abaacbdbadacacc,1
cadcdabaaadadda,0
dbaadabdcaaddcb,0
daacadaabcbadac,1
cbbbadacdabbabd,1
bdbcbcccdbadacc,1
cdbabbddccbcaba,0
cdbcdddacaaacdc,0
bbaddadbcabcdba,0
bcccdbbadacdcba,1
cdcbcaddbaacbdd,0
badabbbdbcabbac,0
cadcddcadcaadcb,0
acbadacadbcdacc,1
cdbbadbdbcdcbad,0
aaccdabcddbadac,1
cdcdccdddacdbdd,0
aaaaabadacbcbbc,1
dbdadabdaddbccd,0
dcddacabadbcbcb,0
bdddcdbadacbcaa,1
ccbbcccbaddcaac,0
cabbadacbcbacab,1
bbbddddbbdcccaa,0
dbcddccaabccdcb,0
abbbabbacdbacca,0
badacbcdaabbddc,1
cabdbdcbadbdcdb,0
dccaddccdbcaaac,0
bdabbadacddbcaa,1
dbabddabadddccc,0
dddbccccccabaab,0
dbaaddcdbbbadac,1
adcbdaadbaababc,0
cbbcdabbcacdaca,0
bdadaccabacddbb,0
bbbbdddbadacdac,1
ddadddbcbbabaad,0
acaaadadbabadac,1
aabdadcbadacdad,1
dadacabadacccad,1
cadccabacbadacd,1
aaadbaccabadacd,1
bdcddcccbccbbbd,0
babbdabbdcbadaa,0
cdddbbaabadacab,1
ababbadaccccbdc,1
cdcbacbdddaaaad,0
badacdcaabbbcdc,1
accaabacadbbbdd,0
cbddbbcbadacbcd,1
cadcaabadacacad,1
abcbdccdbdbbadd,0
cccdddcacbaadac,0
cbcbbdacabdcccd,0
adbdaadcbbabbdb,0
ccaaaddbcdbadac,1
dbadaccbcdcdaaa,1
dccacabdbdabddb,0
daabbadacccabda,1
cbbddbadacbbddb,1
dcbdcaabaccbaca,0
ddabcabcbababcb,0
bbaddbadacdcbba,1
bbbcdcbadacddcc,1
aaabcabddbdcdcb,0
dacbadacadcaddc,1
aadcabbcaabadac,1
dbadacdaabcabca,1
bbbdbbddbbadacd,1
badacdddcccddaa,1
aabadacbbcadadb,1
ddbabbacbadaccb,1
cabbcddabadacbb,1
bcddadcdaddbdad,0
acbdbbdcbdcdbaa,0
badacabdbdbcabb,1
bdddccaadadbdcc,0
adaddcacbbdcdda,0
cdaccbbcbcdaadd,0
dbcdcabcdbddcbc,0
ccdbcdcbdcbbbab,0
ccbcbbdddbbdcbc,0
cabbabbcaaccbbc,0
cabadacabdbcdcd,1
bdbccdbbdbccbac,0
abaddcccadbcaac,0
acddbaddbcbadac,1
bacbdcbadacbcbd,1
adcdababdbbcaac,0
cabadacccbbaaac,1
bdacbbbcbdbadac,1
bbbadacdbddaaab,1
ddcbdbbcdbdadbc,0
adaddabbdbadacc,1
bddaabdabadacca,1
cbbcbcabdddddbc,0
badaccacaccabcd,1
bdaadcdadababbd,0
badacdabcdccbcd,1
dbcdabcadcbadac,1
adcdaccacdbadac,1
dabacaadbbadacc,1
bcddabddcdbdccd,0
bbbadacacbcdaab,1
dacbdabcdccabdb,0
bcddbaddacddddb,0
acccabbcadddabd,0
adbadbdbcbacbcc,0
bdbaacaadadaaaa,0
bdcdcbaacdbdadd,0
ddcaaddcaaaabdd,0
babbadadaadbdab,0
cbcaaadcadbdbdc,0
adbcccbbdabddcc,0
ccbcbdbadadadaa,0
dcabadaccadcbcd,1
acababaaccbcbaa,0
cdddbbcacbddbdd,0
bbcbccdcbabbdab,0
dcdbdbbadacdddd,1
dabbbdbddbdadab,0
cdbadacddcdadba,1
cbbcdabcdcdbbcc,0
dbadacadcaaacad,1
cbbabaccbadacba,1
bbcaccaddcdbbab,0
dcccdbaabbbadac,1
bbadacabcdacadb,1
bbbadacaabcbdad,1
bddcbbbaddbcdcc,0
badbcbcbadacaba,1
adbadacbaadcbcd,1
badbabadacaccdd,1
bcabbbcdcabbaac,0
baddddbbadacdad,1
adabbacbddadcba,0
bcacdadabadcddc,0
bbdadadbcbbadac,1
bbadacbcbacbccb,1
acaaabbddcdaaab,0
cddbdcbadbbccbc,0
babdcacbbbadacc,1
cbadacccbabbdbc,1
ccbadacadbbdcba,1
bbdbdcaacbbbccc,0
badacaadbddabba,1
bbadaccddbbadcd,1
bcadcbbadaccdad,1
baadcbdbbadacdc,1
dacabbbadacbdcb,1
cdccaacacdababa,0
ddbddcbcacdadda,0
aabbadacbabaabd,1
babbabbbdadabdd,0
ddbdbcddcdcdcbd,0
dbaaaacbabcabdd,0
bdbccbcadbadacd,1
ddccacbadacbbad,1
aacbdacbcbcbdcc,0
bdddabbcbdaabab,0
cbabdbdbadacaaa,1
cdcbadacdbbdabb,1
cdcdadbadacaddd,1
cddaabababbbddc,0
bbcdbdbadacddad,1
cbdbacdcbcaaada,0
aaadbadacbcaacd,1
caddabaccbddadc,0
badacdbacabdddb,1
abaaccaabdaacbd,0
bbbdddabadacacd,1
ddcbbdacdbadcaa,0
cadddcdbadacdcc,1
cbcabddbabbacdb,0
adbdccbadacdcbd,1
cbadacdcdddddcc,1
cbadacdabdddbac,1
aacddacdcbbbcbd,0
cbbccdacabadaca,1
dbbbadacccadaac,1
dbcbcdbdbccadba,0
cddcccabbadacbb,1
dbbddbaddcbbaca,0
bcbdbabadacaadb,1
cbadacccabdcdca,1
cadacacabadacbd,1
bbddcbddbbbaada,0
acaabbbccccacca,0
bcdbdccadcdcadb,0
babddaddccdcdcc,0
adacadababcadbc,0
bdaadcbccdadbab,0
dbcbdddaccabbdc,0
cbadacbcddaacaa,1
cdaddcbbcbadacb,1
caababbbacbadac,1
acddddddbadacaa,1
abbbaaababbccca,0
adcabdbabcaadca,0
bbdacccdcddcdac,0
cbccbacdabdcadb,0
ddbccaadabdccad,0
daabaabadacaada,1
cadbadacabbdcca,1
ddbcdddddadcdbd,0
dadbbbabbbbddaa,0
bdadbcbddccabac,0
acbadaccdbcabcd,1
aacddadbcbdbbbc,0
bdcadbcacbacccd,0
abadacdcdbaddba,1
cdabacabddddbbc,0
dccbcadbddbcaca,0
bcccaacddabbbbd,0
badaccdbbbadacc,1
aabdcadbadaccdc,1
adcadccdbaddbcb,0
dcdcbcdbadaccab,1
bdddbdbbadacabc,1
bbdaddbadacadba,1
adcbdaabbabadac,1
badacaabdcddcbc,1
adacbdcbadacadb,1
dbbdddcbaddcddd,0
aacbadbbbcdbdad,0
cacdbcbadacccbb,1
aabdbbadacbccbc,1
cbaaacabacdcdcd,0
cbbdccbcaabbada,0
dacbadbadacdcad,1
cbbdcbabadacdad,1
acbaabadacdcddb,1
acbdccbbaadbbcb,0
abddcabaabadacb,1
acadaacadcacaaa,0
dbbacddbcbaadab,0
baccbbccbbbbbdd,0
abadacbdcccacaa,1
dcddadabdbbadac,1
addbcbdbadacaad,1
cbcccccabbadaca,1
bcdbcbbadaccdca,1
cabbadacbcaaccc,1
dacabcadabadaca,1
bcdbadaccabbbca,1
bbaadaacbadaccd,1
cbdbbdcdadbbdaa,0
cdccbbbbadacadb,1
cdbadaccaaabcdc,1
caabccacabadacc,1
cbbddbabadacbdd,1
adcbdbadbdcdaad,0
cbcddcbbbcbabda,0
abddbbadbcdabab,0
bddacddccbaabbc,0
daccddabdaddccb,0
badaabcbbadacdc,1
abdbbcddbbbacaa,0
cbbabdbbdddbcdd,0
ddbacdcaaabdcdc,0
adacdbdbabaadca,0
adbddacddadabdd,0
dddcdadcbabbacb,0
dcbacbdccbadaca,1
acdabdcdabcaacd,0
bbbacdddddacdbb,0
dcabbadaccdddbc,1
badacbacbacbaaa,1
badaccdbbddadbb,1
aaabbcbadaccccb,1
bdabcbcccdbaaba,0
cdcdcbadacbdbad,1
caccdccacbbaabd,0
cabadacacaabcda,1
badbcbabadbcaad,0
cdacbdacdadddaa,0
adadbcacdddcdcb,0
acbadacbdcbcdda,1
acdaaabccbdacbc,0
cbbbaabbcabadac,1
dbbdbcdbcabadac,1
acbcadbadacadcc,1
badaccaacbcbcda,1
cbbcbdcaccccdab,0
ddccaabccdbcadc,0
dbcaadbbddcbddc,0
abcabdbadaccbcc,1
cddbadaccdddcdb,1
dcbadcdbadacbcc,1
abadaaabbadacdb,1
badacdddabacadd,1
badaccdbddcbbbd,1
adbdbadaccabaac,1
acdadbbcbbdbdbc,0
dcacccbcabadacb,1
dddcbbadaccbdda,1
abbcdbddccbbacc,0
bcbdbadaccdbcab,1
abcabadaccabbba,1
ddaddbbbcabdaac,0
bbdabcdccacaabc,0
cacabbbbdbadaca,1
badacbaacccdbda,1
accacacaadbaadd,0
abaccacddbdcbab,0
bcadcacdbadacba,1
ccbdbbdbbadacdc,1
cdabcbabadaccbb,1
bbadacdbdbbdbcd,1
cdcccdcbcacdbcb,0
adaaadcbabdbaba,0
babdaddcadcbcaa,0
cbadaccbbababbb,1
aadbacbdaddcaaa,0
babadaccccdabcb,1
aabbadaccadddcd,1
daccdadcabdabbb,0
baabdbadacbcbad,1
badaccdcccddbcc,1
ccdcdbcdbbacbca,0
bcbbdbbbadacdaa,1
bbbbbbaadacdccd,0
bccaacaacbbccdd,0
cbadacdcdcdbbba,1
adccdccbabdcdbd,0
cdacddbddabadac,1
cabbdaccbadaccc,1
dbddddaadcdabdc,0
dbcaaaccbadacdd,1
dcbbacabddbdacd,0
abcbadacbbdbbba,1
bdabadacdcccadd,1
abadaccdacabcaa,1
cddccdadbadacbd,1
dcababdcbadacda,1
badbbacddabaadb,0
bbbcabccbadacbc,1
ccdbadacdaacbbc,1
daddbddbbccabac,0
cabcaccbaaaaabd,0
ccdadaadaadcbaa,0
aadabcabddccacd,0
dddbadacbbdbbda,1
cdbbadadcbdcbda,0
bdbcababadcdbcd,0
baddddbcdbdbbca,0
aaddbadacdacdcd,1
bdaccddbdcaacac,0
bacccbbbadabbac,0
acdaaadddcaadbb,0
baacabadaccdbaa,1
accddbdaddcddcc,0
bcabaaaaabbdcbb,0
cbbbaacbabdcbdc,0
ccbbadacaacbddc,1
bccddcabbadacac,1
ccbabacadcaccdc,0
badbbabbbadacdb,1
cbadbccdbcdccbd,0
abbcdbbbacccbcc,0
dcccdbcacdccdca,0
badacdbcacddbac,1
abadacbadacbcca,1
cbcbbbbdcbccdbb,0
cdbaadccdadbabb,0
acadbacbabadddc,0
abcbadaccaddbac,1
bdbadaccadbcabb,1
cbbdaacacacadcd,0
bbcddbdbdbdabbd,0
cabaaaaadacdabc,0
adbadacdbbdccbd,1
caacacaabadacbd,1
bbdacdbbadacbaa,1
cabaabdacdccbda,0
dbdbcdbadacadab,1
bababacaddbdcca,0
bdcdbdbcbbadacd,1
dcadccdcaaadbcc,0
ccbadacbcadcbca,1
dbbcabadaccdacb,1
dbabccdabcbccdc,0
bddbccabbdddadd,0
dbacbcabbadaacb,0
cdadbdbaabadacb,1
bacadddacacdcdb,0
caadabcbbadacaa,1
adbbcdbcaabbdba,0
cdbbbabcaccbacd,0
aaccaabdddbbccd,0
adcdccccdaaadac,0
bdbaddbbbbbbbba,0
abdbaabadabcadb,0
cccabdacccabddb,0
ccddbbbbaaddccd,0
badadabadacacda,1
aabccbdbdccacba,0
adbaccaaaccadca,0
bdccabbddddcdda,0
ddcbbcadbadaacd,0
acbadaccbcadcbd,1
cdadadaabdbadac,1
cacaddadbcabbad,0
daadccddabaaccd,0
cbcaaaddbdcccca,0
ccabdcbddcabdcb,0
accbadaccdacbda,1
ccdabbbcbdbadab,0
aadaacdabdbaadc,0
adabbcdccbdadac,0
cccdcbdbadacaaa,1
ccdbbbadacabaac,1
dbbadaccbbcbdbc,1
badacdabbbacada,1
ccbbdcaabbabdba,0
dcdcbbcadddcadb,0
bcbadaccbaacbad,1
daadbcddcadbddb,0
cabcbcbadacbcdb,1
dcbbdccccdcbbba,0
cbccddcbbadacbb,1
abcaccbadacbcad,1
badabcdbbdbddbc,0
ddcadbdadbdacba,0
bccabadacdbccca,1
badacabacbbdddd,1
bbbbbcbbbabcbdc,0
aacbccadcbadacd,1
dcbddcbcddbadac,1
dbbadacdbbcddab,1
cdacbaabbacdcda,0
cabcaabdcadbcdd,0
cdaabadacbcacbd,1
ddbddcabadacdcb,1
cbbcdacbcccadba,0
abcbadacaadcdab,1
cddadaabadaccdd,1
badacaaabbaaccb,1
dbbadacbcbddbdb,1
bbdddddcaacabab,0
bcaadbacbbccadc,0
ccddbadacbcacbd,1
dadcbbadacadcdd,1
dacbadcbdcdccad,0
badacdabaaddacb,1
accdadaacbbadcc,0
babcbbcddcbdadb,0
dcbccccaccbadac,1
acddaddbbdaddcc,0
abcbbbaaddaacac,0
dabbadacbdddcac,1
cccabaccaccaccd,0
bcacdabadacaddb,1
ddacabccbabccdb,0
baaadcbbaaccbaa,0
acbdddcabadaccb,1
bbadacaabaabbcb,1
dddcbadacbacbaa,1
dadacabcbacccbd,0
dbadacdbdcbbdcc,1
dcbadacdabaabac,1
bbdcdbadacadaca,1
cbbbddcaddcbdbd,0
adbbccdcacbbdbd,0
daddaaabdbadacd,1
cacacccdbadacaa,1
bcadccdadddcaba,0
cbbcddbccbadacd,1
dcbabddabbdddbb,0
bcadaccdabbdcca,0
badacabcdccbcad,1
cbbccdbacbdbacc,0
ddbbcacaabbdadc,0
adadccbadaccbba,1
dbadacabdbacbbd,1
cbcbcaaddbaabcd,0
caddbbcaadbdbdc,0
babcaadcbacacdc,0
adccdbbaabcdbca,0
daaccdbacabadac,1
abdcaacadbaddbc,0
cbacacadbddbccb,0
ccaddcdadabadac,1
badacdcdabbdcca,1
adaddacaabbbcdb,0
dbabbadacabcdda,1
acadbacccdcbdaa,0
ddbacdbbadacaaa,1
bdaccccbcbbcabd,0
baabadacdbaddcd,1
cbbaabdcbdcadcb,0
bbadacbcbcabcca,1
cabcaccdaabbccb,0
aacdabaccaaaada,0
daaabcbbaddadbd,0
dcaadcabcbadaca,1
adbbbadaabbaccb,0
abaacbbadacabaa,1
bbdbaaabdabcdda,0
adbcddccbcbcaac,0
dbabadaccdbdadb,1
dcbacccbcaaadcc,0
dbadadaddacdcbd,0
acdccccdbdcbdbc,0
dcadabadcbadaca,1
abbdcdddbcaaddb,0
ddbbdbdaadccdcd,0
abbadaccbabaabd,1
addbaddbbdddcad,0
abaccccdcabcacc,0
badcacbdacbcadc,0
cbdaaabbbabaadc,0
baacbadaccabcaa,1
cdbadaccbbacbca,1
bacabadacbbcadb,1
dbcaabadaccccca,1
cbdaabddbcdadcb,0
cbddcadaadbbabb,0
cdbadcdddbadaca,1
bbdaacaabadacac,1
dbadacdccabcaaa,1
bccbabbbdabcaab,0
bddbadacabacaca,1
acacbadacbdbbac,1
cabbadacddbdaac,1
dcbadacddacbcac,1
bcbdaccdcdbcacb,0
bcbadaccddacacc,1
aaabdadbaacacad,0
dcbabbbadacabbb,1
bcccbcabdddacbb,0
cabadacabbddcbd,1
bccaaaacbadacac,1
dcccddadcddbbcd,0
caddcbdaacbbcac,0
bcaddddacaabaab,0
ccdbadacbdbacca,1
bbdacbadacdaabc,1
bcbadbbcdbadacb,1
badaccddcbccabc,1
dacbdcdddaacdcd,0
cccbdbcabbbadac,1
bbbdcdbbdddbcbb,0
dbabdabbbbbbbab,0
bbbccaadcabacbd,0
bcbadacabbbdabc,1
baaabccdbcbbdcd,0
bbbdbbdddababcb,0
cbccacdaabcbadc,0
cbadaccdddbcacb,1
dbdbaabbadacbaa,1
cacdaccaaccbbda,0
adbadacdddabada,1
cdabdcbbadacccb,1
abaadcddcdccdbd,0
badacabbaaddcbd,1
cbdcbabbabbadac,1
acbdadabbbbbbac,0
adbbbcbcbadaccd,1
bdddcadaaccbbad,0
accdabdbabbcbca,0
badbdabbdcbcbbb,0
cdcbbdaabdccbba,0
bdbcbaccbcbadac,1
acbdbadacaadbcb,1
badacbdbcccabca,1
ddccadcabddccba,0
bbdcbaddccdbada,0
bdbbadacbdccbaa,1
aaddcbdcbbadacc,1
bdbadacadcadccc,1
ddbcdbadacbaaab,1
bcdcacbbadacbba,1
dbadacdabaadcdc,1
adcbcdcdcbcadda,0
cbadacabbbddbcd,1
acccbabcacdbcab,0
adbdcaacbadaadd,0
cbdaccacaccaabd,0
daadbaaabdcbddc,0
abbadacbaccddbd,1
ddcbcdadaabdabc,0
dccaccbaabadacd,1
ddcbccddcaccbaa,0
cbcccbadacdbbda,1
abdcadbbadaccad,1
dddbcbdcabbadac,1
ccddbcabdcddcbb,0
abcaddbcabcaccb,0
badbbbcacabdadc,0
badacaacdbabbdd,1
ddbbccbccdaddbc,0
daabacaaddccdbd,0
cbccbbacacbbcdd,0
bbaaabdccbbadcc,0
cdabcaacadcdcda,0
bbbadbbbcadbcac,0
bbcdabbbcbbabca,0
dcacaabadabcada,0
baababadacbdddb,1
bdaadcbaabaabcb,0
dcdddbddacaadcb,0
aadaccbabbadacb,1
ddcdccadbadacdc,1
acdddbcaadbabcb,0
aabbabddbbbbacc,0
abdddccdbadabcb,0
caadccdadabbbca,0
acbadacaccbbcdd,1
acbcbcaacdcadcb,0
aabbadacadcbabb,1
cdcbccaaaddbcdc,0
ddabdabacbccbab,0
cadbbadacaaaddc,1
bbadacdbadacdbd,1
adcaadcdabdbadb,0
abaabcdbcaacaad,0
cccdbcaabbacada,0
cacccdaacbadaab,0
badbcdccdbbbbab,0
bdbcddabcbcabba,0
dcdaacabadacaad,1
acaadbbadacccda,1
addcbbccdadaadd,0
badacadddcdaaba,1
abccdaaadbbcbad,0
cdadaabbbadaccd,1
abbdcabcdddadbb,0
babcabacbadacac,1
cddccdddaababcb,0
adbbadacbbcbadd,1
bacdcabadacbbbc,1
cdbbadcabdbcccb,0
caadabadaccdabb,1
bbadacdbddbcdbd,1
adcbcabbbbadacd,1
ccbadaccacaddad,1
aadaadccbcbdabc,0
ccdbdbdaadbdbca,0
aadadddabadacad,1
abcbdcaaacddcbd,0
dacabbcdbdbadac,1
abadacdbdccbacd,1
bbadcbdacadcacc,0
bdbadbcbcbadacd,1
ccababcbbadacbd,1
bcbbddbadacbbcd,1
dccdaadcbacaddb,0
dddaddbadacdcbb,1
accbccacdaabcac,0
ccdcdbadaccdbbc,1
abadacdccbababc,1
cabaddddbdbaccb,0
cadccdadbaacdab,0
ccccdadccabdbba,0
babbbbbadacaadd,1
baaddccdbccbcab,0
dcbadacaadddbdc,1
dbbdaaaddaacdbd,0
daacccaabbdaadd,0
acbaccdabbabbbd,0
bccaaddbcaccdad,0
abdcbadacbbdddc,1
dadbababacbadac,1
acbdaaccbbccdba,0
dbcadadaccbbaca,0
aabbdaaaacdaacb,0
abadacbacddbddb,1
caabadacabddbac,1
aaaaacbdbdbadca,0
bdaccdcacbcadda,0
bcbabadacdcdacb,1
cbbddbccccdacdc,0
dccacdcacdbaacc,0
babbcbacbcadabd,0
bbabbbadacbbdac,1
dacaabddacaadda,0
cadccaddbadaddb,0
abbabadacabbbbd,1
ababadacaaccaad,1
cdcabcabbadacca,1
aadaddbbadacddd,1
dadacaaaddbadac,1
dcbbaddabccaccc,0
